,file,society,date,avis_positif,avis_negatif,status,poste,localisation,mean_rate,general_rate
11,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,Atos-Syntel,"Jul 4, 2019",Excellente opportunité d'apprentissage et de progression pour les juniors,Pas beaucoup,Employé actuel,Employé anonyme,None,3.4,5.0
12,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13777-AVIS-SOC-GLASSDOOR-E116383_P2.html,GFI,"Apr 22, 2015","Comité d'entreprise, tickets restaurant, choix des missions",Pas de connaissance du marché,Employé actuel,consultant moa banque finance,Neuilly,2.9,3.0
13,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13801-AVIS-SOC-GLASSDOOR-E736804_P2.html,La Redoute,"Jan 1, 2019","Une grande variété de jobs, des gens très pro.",Une boîte qui se cherche encore,Employé actuel,Employé anonyme,Roubaix,3.9,3.0
14,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13758-AVIS-SOC-GLASSDOOR-E5694_P1.html,OpenText,"Nov 24, 2019","Salaire
Voiture de fonction
Pas mal de gens sympa","Open space très bruyant avec + de 30 personnes
Mauvais management
Stratégie commerciale catastrophique
3 commerciaux sur  17 ont atteint l'objectif
Turnover mondial supérieur à 60% pour les sales
Grrandes  difficultés à ce faire payer  les primes",Employé actuel,Senior Account Manager,Paris,3.2,1.0
15,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13643-AVIS-SOC-GLASSDOOR-E2411165_P1.html,Altran Telnet,"Oct 17, 2019","*Bonne ambiance entre collègues
*Esprit d'équipe
*Bonne rémunération par rapport au marché","*Société de famille
*Mal organisée
*L'evolution de carrière ne dépend pas forcement de compétence 
*Projets peu intéressants 
*Absence de contribution de RH
*Pas de visibilité",Employé actuel,Employé anonyme,Tunis,2.0,2.0
16,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html,Expertime,"Jul 10, 2018","Très bonne ambiance, bonnes conditions de travail, convivialité, contexte international de travail",Situation géographique en banlieue bien desservie mais assez loin de Paris,Intérimaire actuel,Intérimaire anonyme,Viroflay,3.7,4.0
17,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13801-AVIS-SOC-GLASSDOOR-E736804_P1.html,La Redoute,"Nov 25, 2019","La force d'un grand groupe, mais des équipes à taille humaine.",Je ne trouve pas d'inconvénient,Ancien employé,Employé anonyme,Roubaix,3.9,4.0
18,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13709-AVIS-SOC-GLASSDOOR-E1365869_P2.html,Groupe Crédit Agricole du Maroc,"Sep 25, 2018",On apprends énormément dans de très bonnes conditions.,Les stagiaires ne sont pas rémunérés.,Stagiaire actuel,Stagiaire anonyme,Rabat,3.3,4.0
19,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13711-AVIS-SOC-GLASSDOOR-E3043501_P1.html,Crédit Agricole d'Ile de France,"Dec 13, 2019","Rémunération, formation, expérience reconnu sur le cv",Pas vraiment d'inconvénient à ce jour,Employé actuel,Assistant Chargé D'Affaires,Paris,3.5,3.0
20,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13627-AVIS-SOC-GLASSDOOR-E253618_P1.html,Concordia University,"Apr 30, 2019","multicultural, agreeable, interesting, dynamic","theory, CDD, na, na",Employé actuel,Chercheur postdoctoral,"Montréal, QC",4.0,4.0
21,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13778-AVIS-SOC-GLASSDOOR-E9028_P1.html,Gfi Informatique,"Dec 12, 2019","Des missions plutôt sympa, des managers à l'écoute, et les missions en CDS juste à côté de la gare Lille Flandres",Quelques projets sur d'anciennes stack techniques,Employé actuel,Analyste technique,Lille,3.4,5.0
22,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,Dassault Systemes,"May 19, 2019","Stabilité, avantages ce, nombre de congés, environnement très cool. Projets très innovants","Environnement de dev un peu oldschool,",Employé actuel,Ingénieur Logiciel,Vélizy,3.7,4.0
23,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13701-AVIS-SOC-GLASSDOOR-E1132974_P1.html,Les Echos,"Sep 25, 2019",Le cadre et évidemment les missions,"L'emplacement du site, mais c'est personnel.",Employé actuel,Employé anonyme,Paris,3.8,4.0
24,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13762-AVIS-SOC-GLASSDOOR-E253138_P1.html,Artefact Group,"Jul 24, 2018","Carte Apetiz, mutuelle, remboursement à 50% des titres de transports",Les horaires : le rythme est soutenu,Employé actuel,Employé anonyme,None,3.9,5.0
25,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13649-AVIS-SOC-GLASSDOOR-E2548_P1.html,Manpower,"Dec 12, 2019",Avantage sur le CA de l'agence,"Pression commerciale, axé sur la quantité que la qualité",Employé actuel,Chargée De Recrutement,Paris,4.3,2.0
26,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13693-AVIS-SOC-GLASSDOOR-E762009_P1.html,Datadog,"Jul 30, 2019","Un produit incroyable qui offre une des meilleures solutions sur le marché. 
Les membres de l'équipe de l'ingénierie et des ventes sont vraiment concentrés sur l'apport de ce qu'il y a de mieux à nos clients. 
Nous avons connu une croissance très rapide au cours des 3 dernières années et tout le monde travaille pour s'assurer que Datadog innove sur tous les piliers qui constituent notre plateforme. 
C'est une...","Beaucoup de choses à livrer, mais cela vaut la peine en ce qui concerne la situation de l'entreprise sur le marché.",Employé actuel,Chargé De Clientèle,Paris,3.7,5.0
27,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13602-AVIS-SOC-GLASSDOOR-E3516_P1.html,Volvo Group,"Dec 5, 2019",Groupe international avec vrai diversité,Procédures super lents et lourdes,Employé actuel,acheteur famille,Lyon,4.0,3.0
28,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13741-AVIS-SOC-GLASSDOOR-E1132227_P1.html,JEMS Group,"Nov 24, 2019","- Propositions de formation
- Liberté d'étre force de proposition et bonne communication",Aucun à noter pour le moment,Employé actuel,Employé anonyme,Paris,4.3,5.0
29,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13619-AVIS-SOC-GLASSDOOR-E800152_P2.html,SoLocal Group,"Sep 9, 2019","Diversité des projets
Work life balance
Evenements
Mobilité interne","Pyramidal
Budgets gelés
Innovation bridée
Management archaique
Salaires qui augmentent peu",Ancien employé,Employé anonyme,"Bordeaux, Aquitaine",2.9,4.0
30,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html,Multimedia France Productions,"Jan 5, 2018",Aucun vu qu'on  n'est pas payé.,On n'est pas payé si MFP n'est pas payé par ses propres clients. Sacré inconvénient et sacrément illégal ! Essaie de vous faire signer des contrats a posteriori modifiant les termes convenus à la commande.,Ancien freelance,Sous,Paris,1.0,1.0
31,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13780-AVIS-SOC-GLASSDOOR-E35333_P1.html,GFI Group,"Jun 24, 2017",personnel ouvert intéressant et jeune,trop petite société pas assez de monde,Senior,None,"Londres, Angleterre",3.2,3.0
32,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13652-AVIS-SOC-GLASSDOOR-E788645_P2.html,ITS Group,"Feb 2, 2019",Il n'y a aucun avantage dans cette société,"Je suis indépendant, j'ai travaillé presque 9 mois pour ITS. Pas un seul mois j'ai reçu mon salaire en temps et en heure. 
Je ne reçois aucun mail d'excuses... Super conseil de ma responsable ""un indépendant doit avoir de la trésorie"". Quel manque de respect. 
C'est vraiment honteux comme retour. Vous mettez des gens en difficultés. Vousne vous rendez pas compte dans les situations dans lesquels vous pouvez nous...",Ancien employé,Employé anonyme,Lyon,3.5,1.0
33,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13745-AVIS-SOC-GLASSDOOR-E3803_P1.html,Capgemini,"Dec 12, 2019","challenge intellectuel, montee en competences","Les joournees peuvent etre longues, l'integration n'est pas tres organisee",Employé actuel,Employé anonyme,Paris,3.6,4.0
34,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13650-AVIS-SOC-GLASSDOOR-E809243_P1.html,ITS,"Sep 14, 2018",esprit de grupe et equipe rh,grille salaire predefini plus adapté au junior,Employé actuel,Consultatnt,Paris,3.4,4.0
35,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13677-AVIS-SOC-GLASSDOOR-E1063459_P1.html,CALIDA Group,"Apr 4, 2018","Une ambiance sportive
Des opportunitées & missions multiples",Difficultés de communication intermarques et interdépartements,Ancien stagiaire,Stagiaire Marketing,Annecy-le-Vieux,4.0,4.0
36,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13758-AVIS-SOC-GLASSDOOR-E5694_P2.html,OpenText,"Mar 19, 2018",Salle de jeux et bons collègues.,Bureau régional et non primaire.,Ancien employé,Employé anonyme,Paris,3.2,4.0
37,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13647-AVIS-SOC-GLASSDOOR-E241449_P1.html,Statkraft AS,"Apr 27, 2019",Une entreprise apte à se réinventer. Ouvrez-vous à un travail autonome et à de belles opportunités pour relever de nouveaux défis. Bonne ambiance et bonnes conditions de travail.,"Silos. Doit s’ouvrir à davantage d’interactions et de collaboration entre les différentes équipes/compétences et interfaces.  
Analyste des risques",Employé actuel,Anonymous,None,4.0,4.0
38,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13764-AVIS-SOC-GLASSDOOR-E1164584_P1.html,Artefacts Studio,"May 22, 2017",Expérience personnellement enrichissante de par  la diversité des projets gérés durant mes 4 ans.,Un studio qui gagne à être davantage connu,,None,None,4.6,5.0
39,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13791-AVIS-SOC-GLASSDOOR-E116383_P1.html,GFI,"Sep 24, 2019","CE, mutuelle, intranet, à l'écoute des envies des collaborateurs",Peu d'expérience chez gfi je ne sais pas encore,Employé actuel,Product Owner,"Saint-Ouen, Île-de-France",2.9,4.0
40,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13746-AVIS-SOC-GLASSDOOR-E589990_P2.html,Capgemini Invent,"Oct 16, 2019","Les avantages sont :
- très bon niveau d'exigence en data science
- bon équilibre vie personnelle / travail
- possibilité d'être en contact avec le client
- équipe jeune
- formations en internes proposées","- staffing peu clair
- de grosses periodes de creux dûes à un manque de projets",Ancien employé,Employé anonyme,Paris,4.0,4.0
41,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,"Dec 12, 2019",Salaire acceptable pour un junior,"CE n’est pas intéressante, RAS",Ancien employé,Employé anonyme,Paris,4.1,3.0
42,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13724-AVIS-SOC-GLASSDOOR-E1126011_P1.html,alptis assurances,"Jul 8, 2019","Ambiance, entraide, participation projets interentreprise","Outils de gestion, moyens informatique, manque de communication",Employé actuel,Employé anonyme,Lyon,3.4,3.0
43,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13800-AVIS-SOC-GLASSDOOR-E1443740_P2.html,ibis,"May 7, 2018",Très bonne expérience sur gros porteur,Beaucoup d'activité on ne s’arrête jamais,Ancien employé,Assistant Chef De Reception,Roissy,3.9,5.0
44,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13639-AVIS-SOC-GLASSDOOR-E7448_P1.html,Altran Group,"Dec 12, 2019","Cadre payé à l’heure et non au forfait.
Remboursement frais km.",Le salaire est bas salaire.,Employé actuel,Ingénieur Consultant,Belfort,3.5,4.0
45,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13617-AVIS-SOC-GLASSDOOR-E139323_P1.html,CNH Industrial Capital,"Nov 12, 2019","Flexibilité 
Opportunités 
International 
Ambiance 
Autonomie","Désordre 
Management 
Organisation 
Manque de projets 
Mode de travail",Employé actuel,Employé anonyme,None,3.9,4.0
46,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13612-AVIS-SOC-GLASSDOOR-E845851_P2.html,Feu Vert,"Oct 22, 2017",Le milieu automobile est intéressant et enrichissant,Les salaires ne sont pas élevés,,None,Lyon,2.8,2.0
47,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13661-AVIS-SOC-GLASSDOOR-E633820_P1.html,Sii Poland,"Mar 11, 2019","Très bonne ambiance
Bons projets
Avantages sympathiques",Beaucoup de turn over des employés,Employé actuel,ingénieur developpeur,Cesson-Sévigné,4.8,5.0
48,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13710-AVIS-SOC-GLASSDOOR-E476908_P2.html,CACIB,"Jun 18, 2019",Bonne vision et capacité d'exécution,Rien d'important à signaler,Ancien employé,Responsable informatique de l'API,Paris,3.5,5.0
49,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13625-AVIS-SOC-GLASSDOOR-E192082_P1.html,Polytechnique Montréal,"Sep 15, 2019","Grande liberté 
Autonomie
Équipements de pointe
Compétences des équipes",Les rémunérations sont limitées (recherche universitaire),Employé actuel,Docto,"Montréal, QC",4.4,5.0
50,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13689-AVIS-SOC-GLASSDOOR-E2098670_P1.html,Adsearch,"Nov 5, 2019","Travail d'équipe, horaire appréciable, formateur","La Rémunération du à l'alternance,",Employé actuel,Chargée De Recrutement,Lyon,4.5,5.0
51,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13803-AVIS-SOC-GLASSDOOR-E20114_P2.html,Veolia,"Oct 8, 2019",Grosse structure avec des moyens,Grosse structure avec des lenteurs decisionnelles,,None,Marseille,3.4,4.0
52,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13655-AVIS-SOC-GLASSDOOR-E717393_P1.html,Canon ITS,"Mar 7, 2019","Égalité des sexes, environnement de travail convivial,",you should be self-discipline and curious to keep updated  cause no one asks you to keep learning,Ancien employé,Développeur,"Shanghai, Shanghai",3.2,4.0
53,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13791-AVIS-SOC-GLASSDOOR-E116383_P2.html,GFI,"Apr 22, 2015","Comité d'entreprise, tickets restaurant, choix des missions",Pas de connaissance du marché,Employé actuel,consultant moa banque finance,Neuilly,2.9,3.0
54,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13576-AVIS-SOC-GLASSDOOR-E18712_P1.html,Modis,"Dec 13, 2019",Rien ne me vient à l'esprit,"-     Missions inintéressantes et qui ne correspondent pas du tout  à vos attentes
-      Aspect Humain inexistant
-      Aucune transparence  
-	Aspect rentable 1000 fois plus important que l’aspect Humain
-	Managers qui alignent les mensonges
-	A EVITER A TOUT PRIX pour les personnes qui débutent sur le marché du travail 
-	Ils vous virent très rapidement si vous n’avez pas de mission 
-	Management,...",Employé actuel,Employé anonyme,Lyon,3.2,1.0
55,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13630-AVIS-SOC-GLASSDOOR-E456207_P1.html,Eidos Montreal,"Jan 23, 2019","Salaire compétitif, bons avantages sociaux, situé en plein centre ville de Montréal.
Fruits et cafés en accès libre","Peu d’activité d'entreprise d'organisé pour consolider les équipes.
Des choix technologiques douteux et pas forcément optimales.
Des projets au développement parfois très long (Thief  =7 ans développement, Deus Ex 1 & 2 = 5 ans de développement chacun) pour un succès par forcément au rendez vous.",Ancien employé,Level Designer,"Montréal, QC",3.6,3.0
56,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13727-AVIS-SOC-GLASSDOOR-E1261010_P1.html,Mixt Composites Recyclables,"Mar 12, 2019","Ambiance, projets et la proximité avec la production",Le contexte qui s'est retrouvé perturbé,Ancien employé,Employé anonyme,None,4.0,4.0
57,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13619-AVIS-SOC-GLASSDOOR-E800152_P1.html,SoLocal Group,"Dec 11, 2019","Missions intéressantes
Locaux agréables et modernes","Mauvaise santé financière de l'entreprise, multiples plans sociaux
Avenir bancal de la société
Entreprise qui dit se transformer mais dans les faits ce n'est pas tout à fait le cas.",Employé actuel,Responsable Marketing,Boulogne-Billancourt,2.9,2.0
58,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html,Groupe Adéquat,"Nov 6, 2019","Ponctualité, sérieux, à l'écoute, souplesse., Régularité","Aucun, aucun, aucun, aucun, aucun",Ancien employé,Employé anonyme,Grenoble,3.9,4.0
59,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13736-AVIS-SOC-GLASSDOOR-E410527_P1.html,Thales-Raytheon Systems,"May 28, 2019","Ambiance multi-culturelle, responsabilités, CE, rencontre clients","Ambiance générale, complexité du programme, évolution et proposition lié à l'aspect politique",Employé actuel,Ingénieur Apprenti,"Massy, Île-de-France",3.0,4.0
60,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13628-AVIS-SOC-GLASSDOOR-E235643_P2.html,University of Montreal,"Mar 6, 2019","Bon salaire, bons avantages sociaux",difficulté d'avoir plus de contrats,Ancien employé,Chargé de cours,"Montréal, QC",3.9,4.0
61,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13624-AVIS-SOC-GLASSDOOR-E397805_P2.html,STM,"May 27, 2018",avantage sociaux tres intéressant et bon salair,trop de stresse et des client qui te respecteent pas,Employé actuel,Chauffeur,"Montréal, QC",3.7,3.0
62,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13576-AVIS-SOC-GLASSDOOR-E18712_P2.html,Modis,"Aug 2, 2019","Évolution, environnement de travail, soutien du manager",Suivi des employés débutants,Employé actuel,Ingénieur Commercial,Paris,3.2,4.0
63,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13760-AVIS-SOC-GLASSDOOR-E1194086_P1.html,Open Sourcing,"Jul 12, 2019",Travail en autonomie pour les stagiaires,Aucun inconvénient à évoquer,Ancien stagiaire,Stagiaire anonyme,Levallois-Perret,3.0,3.0
64,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13717-AVIS-SOC-GLASSDOOR-E1187250_P1.html,Sopra Steria Recruitment,"Oct 16, 2017","Ambiance conviviale
Avantages Mutuelle, CE
Possibilité d'évolution interne","Salaire
Non augmentation
Discrimination au niveau de l'âge",Employé actuel,Employé anonyme,None,4.0,4.0
65,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13623-AVIS-SOC-GLASSDOOR-E1146056_P1.html,Montreal Associates,"Sep 19, 2019","Bonne volonté du management de donner plus de flexibilité
Plan de commissions intéressant","Rien à signaler, bonne opportunité",Employé actuel,Consultant principal,"Londres, Angleterre",4.3,4.0
66,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13741-AVIS-SOC-GLASSDOOR-E1132227_P2.html,JEMS Group,"Jan 17, 2019",Le service des ressources humaines est sympathique et fait bien son travail. Les RH sont les seuls qui se soucient vraiment des consultants et pas juste de la rentabilité.,"Le mensonge est omniprésent chez les managers et les commerciaux et ce dès le début du processus de recrutement. 
Les commerciaux demandent aux consultants de s'inventer des missions ou des expériences pour coller aux attentes des clients. Ils font attendre un temps certain les consultants avant de leur proposer des missions pour qu'ils se sentent obliger d'accepter une offre qui ne correspond pas à leur plan de...",Employé actuel,Junior Consultant,Neuilly,4.3,1.0
67,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html,Artefact,"Feb 5, 2019","Cadre, Ambiance,  salaire, Evolution",Rien à dire. Pas d'inconvénients ...,Ancien employé,Employé anonyme,Paris,4.0,4.0
68,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13641-AVIS-SOC-GLASSDOOR-E28187_P1.html,Altran North America,"Feb 22, 2019","Bon équilibre travail/vie privée 
Aucun processus","Manque de transparence envers les employés
La rémunération variable va à 100 % aux tout meilleurs employés.",Employé actuel,Anonymous,Paris,3.6,1.0
69,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13753-AVIS-SOC-GLASSDOOR-E13339_P2.html,Open,"Nov 8, 2019",Une entreprise responsable qui met le sens et les valeurs au premier plan. Une vision stratégique ambitieuse,En transformation et un exécution à affiner,Employé actuel,Employé anonyme,Levallois-Perret,3.5,5.0
70,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13714-AVIS-SOC-GLASSDOOR-E10777_P1.html,Lectra,"Dec 10, 2019","Profils variés et intéressants
Environnement très international","Peu de respect pour les collaborateurs
Management autoritaire
Structure très hiérarchisée",Ancien employé,Employé anonyme,Cestas,3.5,1.0
71,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13699-AVIS-SOC-GLASSDOOR-E3489_P1.html,LVMH,"Dec 9, 2019","Tickets restaurant 200€, locaux modernes.",Pas de salles de sport / douches accessibles aux alternants,Employé actuel,Chargé De Projets,Paris,3.7,5.0
